Species,Transition,λrest_micron,Δλobs_1E-4micron,A_s-1,El_cm-1,Eu,IHII,σHII,IAtomic,σAtomic_10−5 erg s−1 cm−2 sr−1,IDF1,σDFl,IDF2,σDF2,IDF3,σDF3
H I,45496,4.9237,2,3.62E+02,107440,109471,1.85,0.1,1.16,0.17,0.58,0.06,0.55,0.32,0.36,0.25
UID,–,4.928,0,–,–,–,–,–,–,–,0.23,0.17,0.46,0.34,0.42,0.22
H2,1-1 S(9),4.9541,3,4.37E-07,8908,10927,0.69,0.11,0.78,0.12,1.54,0.09,2.72,0.1,2.38,0.09
UID,–,4.968,0,–,–,–,–,–,–,–,0.2,0.22,0.28,0.14,0.28,0.14
H I,45495,4.9709,2,4.57E+02,107440,109452,2.13,0.01,1.7,0.06,0.71,0.13,0.38,0.05,0.39,0.14
H I,45494,5.0261,1,5.82E+02,107440,109430,2.5,0.09,1.93,0.19,0.73,0.02,0.56,0.15,0.78,0.1
H2,0-0 S(8),5.0531,3,3.24E-07,4052,6031,2.48,0.06,2.35,0.09,4.66,0.1,7.12,0.05,7.38,0.17
H I,45493,5.0913,2,7.52E+02,107440,109404,2.75,0.07,2.02,0.18,0.89,0.11,0.82,0.15,0.63,0.22
H I,45453,5.1287,2,3.69E+04,106632,108582,33.66,0.13,25.58,0.35,10.24,0.13,8.92,0.13,7.46,0.16
H I,45492,5.1693,1,9.85E+02,107440,109375,3.45,0.08,2.21,0.19,1.02,0.27,0.82,0.19,0.97,0.3
UID,–,5.24,0,–,–,–,3.76,0.11,2,0.26,–,–,–,–,–,–
H I,45491,5.2637,1,1.31E+03,107440,109340,3.6,0.21,2.66,0.23,1.02,0.04,1.1,0.13,0.87,0.05
H2,1-1 S(8),5.33,2,2.92E-07,8008,9884,–,–,–,–,0.35,0.23,0.91,0.03,0.78,0.07
Fe II,a6D−a4F 9/2 - 9/2,5.3402,3,–,0,1873,20.43,0.02,50.52,0.4,22.48,0.53,16.45,0.18,6.76,0.11
H I,45490,5.3798,3,l.78e+03,107440,109299,4.62,0.1,3.18,0.22,1.29,0.2,1.16,0.07,1,0.1
H2,0-0 S(7),5.5112,4,2.00E-07,3187,5002,11.16,0.45,11.43,0.23,27.17,0.13,42.13,0.11,39.45,0.26
H I,45489,5.5252,2,2.47E+03,107440,109250,5.4,0.16,4.23,0.12,1.83,0.13,1.84,0.02,1.35,0.04
UID,–,5.5515,0,–,–,–,–,–,–,–,0.76,0.18,1.78,0.07,–,–
UID,–,5.596,0,–,–,–,1.33,0.19,0.14,0.21,–,–,–,–,–,–
UID,–,5.628,0,–,–,–,0.67,0.14,–,–,–,–,–,–,–,–
UID,–,5.634,0,–,–,–,–,–,–,–,0.19,0.31,0.46,0.27,0.2,0.11
UID,–,5.658,0,–,–,–,0.83,0.06,1.72,0.21,0.57,0.21,0.35,0.24,0.31,0.08
H I,45488,5.7115,1,3.52E+03,107440,109191,6.48,0.22,4.46,0.35,1.74,0.27,1.8,0.15,1.51,0.09
UID,–,5.74,0,–,–,–,3.17,0.27,1.76,0.33,0.46,0.28,0.58,0.14,0.49,0.09
H2,1-1 S(7),5.8109,4,1.82E-07,7188,8908,0.42,0.11,0.07,0.32,1.07,0.3,2.64,0.1,2.1,0.16
H I,45452,5.9082,1,7.06E+04,106632,108325,45.15,0.62,34.98,0.78,13.38,0.46,11.73,0.32,9.92,0.14
H I,45487,5.9568,1,5.16E+03,107440,109119,8.14,0.12,6.43,0.23,2.54,0.16,2.05,0.2,1.75,0.07
H2,0-0 S(6),6.1086,4,1.14E-07,2415,4052,5.67,0.32,5.63,0.57,15.81,0.88,25.42,0.3,22.03,0.23
H I,45486,6.2919,2,7.85E+03,107440,109030,9.39,0.71,5.5,1.5,1.78,0.38,2.01,0.31,1.85,0.23
H I,45533,6.3159,4,9.84E+01,107965,109548,0.56,0.6,–,–,–,–,–,–,–,–
H I,45532,6.354,2,1.18E+02,107965,109539,0.81,0.57,–,–,–,–,–,–,–,–
UID,–,6.366,0,–,–,–,0.59,0.16,–,–,–,–,–,–,–,–
H I,45531,6.3969,0,1.42E+02,107965,109528,0.79,0.1,–,–,–,–,–,–,–,–
UID,–,6.412,0,–,–,–,–,–,–,–,1.77,0.64,2.13,0.38,0.82,0.2
H2,1-1 S(6),6.4383,3,1.05E-07,6454,8008,0.24,0.14,0.19,0.25,0.09,0.63,0.32,0.23,0.3,0.14
H I,45530,6.4455,2,1.73E+02,107965,109516,0.84,0.03,–,–,–,–,–,–,–,–
UID,–,6.4976,0,–,–,–,0.67,0.28,2.6,0.41,–,–,–,–,–,–
H I,45529,6.501,1,2.12E+02,107965,109503,0.93,0.12,1.11,0.4,0.38,0.08,0.14,0.1,0.26,0.07
H I,45528,6.5647,2,2.63E+02,107965,109488,1.23,0.15,0.82,0.16,0.05,0.11,0.12,0.1,0.13,0.1
Ni II,2D–2D 5/ 2- 3/2,6.636,3,5.54E-02,0,1507,3.7,0.22,17.96,0.83,5.57,0.67,4.65,0.48,1.44,0.26
H I,45527,6.6384,-10,3.28e+()2,107965,109471,0.78,0.34,–,–,–,–,–,–,–,–
He I,multiple,6.7217,1,–,195114,196601,1.3,0.15,3.23,0.26,1.69,0.17,1.15,0.09,0.54,0.02
H I,45526,6.7245,4,4.15E+02,107965,109452,1.38,0.1,1.14,0.07,0.48,0.14,0.37,0.09,0.4,0.03
H I,45485,6.772,2,1.25E+04,107440,108917,12.82,0.2,9.3,0.37,3.23,0.35,2.66,0.3,2.41,0.21
H I,45525,6.8259,2,5.31E+02,107965,109430,1.34,0.16,0.26,0.55,–,–,–,–,–,–
UID,–,6.859,0,–,–,–,–,–,3.38,0.4,–,–,–,–,–,–
H2,0-0 S(5),6.9095,3,5.88E-08,1740,3187,29.93,0.43,29.75,0.83,98.77,1.11,161.79,1.11,137.7,1.08
H I,45524,6.9468,0,6.89E+02,107965,109404,2.18,1.57,1.38,1.89,0.31,0.76,0.28,0.58,0.57,0.64
Ar II,2P0–2P0 3/2 - 1/2,6.9853,4,4.23E-02,0,1432,1105.3,10.23,1423.34,8.85,174.53,1.25,167.85,0.99,147.86,0.94
H I,45523,7.0927,3,9.07E+02,107965,109375,2.41,0.22,–,–,–,–,–,–,–,–
H I,45522,7.2717,4,1.22E+03,107965,109340,2.62,0.13,1.09,0.53,0.09,0.22,0.18,0.29,0.2,0.2
H2,1-1 S(5),7.2801,4,5.44E-08,5814,7187,0.16,0.19,0.12,0.79,0.4,0.31,0.91,0.43,0.66,0.28
Ni III,3F–3F 4-3,7.3492,35,6.50E-02,0,1361,12.66,0.19,7.54,0.52,3.53,0.38,2.78,0.21,2.59,0.21
He I,3D–3F0 multiplet,7.4334,3,–,193917,195262,0.4,0.02,–,–,–,–,–,–,–,–
H I,45418,7.4599,2,1.02E+06,105292,106632,237.55,0.71,185.67,1.39,69.24,0.63,61.44,0.23,50.09,0.13
H I,45521,7.4951,4,1.66E+03,107965,109299,1.48,0.52,–,–,–,–,–,–,–,–
H I,45451,7.5025,4,l.56e+05,106632,107965,64.75,0.49,48.65,1.36,18.14,0.74,16.22,0.42,13.29,0.22
H I,45484,7.5081,3,2.12E+04,107440,108772,15.37,0.81,11.08,3.11,3.95,2.03,3.73,1.47,3.09,0.6
H I,45520,7.7804,2,2.33E+03,107965,109250,4.21,0.28,5.03,1.2,–,–,–,–,–,–
UID,–,7.878,0,–,–,–,2.54,0.41,–,–,–,–,–,–,–,–
H2,0-0 S(4),8.025,5,2.64E-08,1169,2415,16.95,0.16,16.26,0.64,57.39,0.47,96.98,0.68,85.43,0.34
H I,45519,8.1549,4,3.36E+03,107965,109191,4.85,0.13,3.45,0.61,1.36,0.36,1.31,0.37,0.88,0.18
H I,45562,8.3084,0,1.30E+02,108325,109528,0.92,0.15,–,–,–,–,–,–,–,–
H I,45561,8.3907,4,1.59E+02,108325,109516,0.54,0.11,–,–,–,–,–,–,–,–
UID,–,8.4095,0,–,–,–,0.76,0.31,–,–,–,–,–,–,–,–
H I,45560,8.4849,3,1.95E+02,108325,109503,0.57,0.4,–,–,–,–,–,–,–,–
H I,45559,8.5938,-4,2.42E+02,108325,109488,1.04,0.48,–,–,–,–,–,–,–,–
H I,45518,8.6645,3,5.01E+03,107965,109119,4.38,0.55,2.75,0.95,–,–,0.19,0.53,0.26,0.44
H I,45558,8.7206,3,3.04E+02,108325,109471,0.74,0.33,–,–,–,–,–,–,–,–
H I,45483,8.7601,3,3.90E+04,107440,108582,24.65,0.53,18.23,0.54,8.08,0.66,6.76,0.65,5.25,0.35
H I,45557,8.8697,5,3.85E+02,108325,109452,0.72,0.24,–,–,–,–,–,–,–,–
Ar III,3P–3P2 - 1,8.9914,-1,3.10E-02,0,1112,1466,1.67,795.1,1.49,489.49,0.92,413.35,0.68,333.44,0.42
H I,45556,9.047,4,4.95E+02,108325,109430,0.76,0.65,0.4,0.63,–,–,–,–,–,–
H I,45555,9.2605,1,6.45E+02,108325,109404,0.81,0.2,0.58,0.07,0.47,0.11,0.43,0.06,0.3,0.08
H I,45517,9.392,4,7.80E+03,107965,109030,7.22,0.29,5.24,0.08,2.31,0.14,2.09,0.15,1.64,0.13
H I,45554,9.5217,4,8.56E+02,108325,109375,0.83,0.56,0.68,0.41,–,–,–,–,–,–
H2,0-0 S(3),9.6649,8,9.84E-09,705,1740,38.46,0.21,22.03,0.47,63.15,0.32,199.96,0.16,148.41,0.17
H I,45553,9.847,9,1.16E+03,108325,109340,1.42,0.31,0.99,0.29,–,–,–,–,–,–
H I,45552,10.2613,5,1.60E+03,108325,109299,2.6,0.25,1.91,0.33,0.84,0.18,0.67,0.12,0.59,0.13
UID,–,10.3845,0,–,–,–,1.4,0.16,0.46,0.19,0.07,0.2,0.29,0.08,0.08,0.11
S IV,2P0–2P01/2 - 3/2,10.5105,2,7.30E-03,0,951,492.1,0.56,413.84,0.78,271.81,0.56,251.25,0.39,190.24,0.3
Ni II,4F–4F 9/2 - 7/2,10.6822,8,2.71E-02,8394,9330,2.2,0.4,3.97,0.32,0.58,0.27,0.54,0.11,0.47,0.17
H I,45551,10.8036,4,2.27E+03,108325,109250,2.79,0.2,1.98,0.28,0.57,0.2,0.5,0.11,0.54,0.05
He I,3S–3P0 multiplet,10.882,5,–,–,–,0.62,0.22,0.51,0.59,–,–,–,–,–,–
Ni III,3F–3F 3 - 2,11.0023,14,2.70E-02,1361,2270,2.17,0.8,1.96,2.93,0.89,1.96,0.55,0.94,0.52,0.48
H I,45482,11.3087,6,8.24E+04,107440,108325,29.05,1.69,22.42,2.75,9.41,2.17,7.86,1.15,6.27,1.06
H I,45550,11.5395,6,3.32E+03,108325,109191,2.76,0.29,1.15,0.81,0.14,0.4,0.15,0.27,0.17,0.2
H I,45585,12.1568,2,6.17E+02,108582,109404,0.99,0.19,–,–,–,–,–,–,–,–
H2,0-0 S(2),12.2786,7,2.76E-09,354,1169,24.67,0.24,20.48,0.26,56.56,0.15,107.33,0.12,89.38,0.05
H I,45450,12.3719,9,4.56E+05,106632,107440,92.29,0.42,68,0.38,27,0.4,23.62,0.31,19.23,0.23
H I,45515,12.3872,9,2.30E+04,107965,108772,10.66,0.47,7.55,0.72,3.22,0.59,3.1,0.4,2.25,0.29
H I,45549,12.5871,8,5.08E+03,108325,109119,4.29,0.06,2.92,0.27,0.75,0.08,0.99,0.15,0.82,0.02
H I,45584,12.611,6,8.25E+02,108582,109375,1.35,0.26,–,–,–,–,–,–,–,–
Ne II,2P0–2P0 3/2-1/2,12.8135,7,8.32E-03,0,780,6156.4,0.79,4612.99,1.96,1422.69,1.4,1188.46,1.42,1013.34,0.65
H I,45583,13.188,5,1.13E+03,108582,109340,1.47,0.23,–,–,–,–,–,–,–,–
H I,45582,13.9418,-1,1.58E+03,108582,109299,1.48,0.2,–,–,–,–,–,–,–,–
H I,45548,14.1831,4,8.19E+03,108325,109030,5.02,0.31,3.14,0.82,0.95,0.5,0.87,0.29,0.7,0.18
UID,–,14.333,0,-,-,-,0.93,0.49,0.9,0.59,0.5,0.32,0.56,0.36,0.3,0.12
Cl II,3P–3P2-1,14.3678,3,7.62E-03,0,696,20.66,0.61,82.39,0.68,36.86,0.35,30.19,0.3,10.67,0.22
H I,45581,14.9623,5,2.28E+03,108582,109250,2.11,0.22,1.51,0.4,-,-,-,-,-,-
Ne III,3P–3P2-1,15.555,10,5.85E-03,0,643,2039.97,0.74,1468.13,1.15,874.5,0.72,759.39,0.57,582.45,0.43
H I,45514,16.2091,0,4.68E+04,107965,108582,16.53,0.55,10.92,0.89,4.44,0.73,4.5,0.53,3.33,0.41
H I,45580,16.4117,-2,3.42E+03,108582,109191,4.28,1.01,6.84,5.23,–,–,–,–,–,–
H I,45547,16.8806,12,1.43E+04,108325,108917,6.16,1.09,4.15,1.25,1.73,0.59,1.53,0.64,1.16,0.49
H2,0-0 S(1),17.0348,19,4.76E-10,118,706,24.97,1,19.89,1.6,46.92,1.29,114.43,1.05,119.29,0.7
P III,2P0–2P0 1/2 - 3/2,17.8846,4,1.47E-03,0,559,39.8,0.22,26.08,1.44,14.54,1.15,13.53,0.9,10.63,0.87
Fe II,a4F–a4F 9/2 -7/2,17.936,0,5.84E-03,1873,2430,15.17,0.93,30.99,0.22,6.09,0.25,5.05,0.35,3.02,0.16
UID,–,18.651,0,–,–,–,–,–,–,–,7.69,0.98,9.4,0.73,7.54,0.66
S III,3P–3P 1 -2,18.713,-1,1.43E-03,299,833,5996.73,1.28,4127.26,1.75,1884.99,1.39,1681.1,0.73,1297.2,0.96
H I,45481,19.0619,4,2.27E+05,107440,107965,46.39,2.04,35.43,3.73,14.22,1.88,12.01,1.3,9.97,1.11
Ar III,3P–3P 1 -0,21.8291,-2,5.19E-03,1112,1570,94.13,1.38,48.27,2.02,27.58,0.68,24.18,0.6,19.1,0.7
H I,45546,22.3405,-26,2.81E+04,108325,108772,13.28,0.68,–,–,–,–,–,–,–,–
Fe III,5D–5D4-3,22.925,15,2.80E-03,0,436,141.05,3.71,88.91,3.2,39.08,2.11,29.57,1.23,25.94,1.21
S I,3P–3P2 - 1,25.249,44,1.40E-03,0,396,–,–,–,–,6.64,4.04,7.57,3.49,16.38,1.94
Fe II,a6D–a6D 9/2 - 7/2,25.9884,70,2.13E-03,0,385,55.8,10.65,298.31,33.29,158.19,14.68,152.99,11.69,37.46,8.31
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,